2.415839,Open
2.741075,Close
2.363765,Close
2.361408,Close
2.034431,Close
1.760836,Close
1.56094,Close
1.347642,Close
0.9754699,Close
0.8410977,Close
0.7286,Close
0.3994244,Close
0.346643,Close
0.3006621,Close
0.2617706,Close
0.2260706,Close
0.4387398,Open
0.3810233,Open
0.6005803,Open
0.5210396,Open
0.4529283,Open
0.6961706,Open
0.60586,Open
0.7916201,Open
0.6867591,Open
0.5940079,Open
0.8547604,Close
0.7415693,Close
0.9602254,Close
0.8302806,Close
0.7211321,Close
0.9057636,Close
0.7874589,Close
0.9393849,Close
0.8134525,Close
0.7057846,Close
0.8623027,Close
0.7437792,Close
0.8213781,Close
0.7086699,Close
0.6126519,Close
0.7787371,Close
0.6756635,Close
0.8763285,Close
0.7583929,Close
0.6549209,Close
1.022976,Close
0.8845152,Close
1.299493,Close
1.122804,Close
0.9700025,Close
1.251128,Open
1.083342,Open
1.400841,Open
1.209089,Open
1.042672,Open
1.08773,Open
0.939153,Open
1.173668,Open
1.02041,Open
0.8769057,Open
1.227424,Open
1.060176,Open
1.426258,Open
1.235004,Open
1.065969,Open
1.516242,Open
1.304298,Open
1.647599,Open
1.423589,Open
1.219138,Open
1.522122,Open
1.326981,Open
1.61243,Open
1.396389,Open
1.202218,Open
1.393784,Open
1.203233,Open
1.342853,Open
1.166405,Open
1.00701,Open
1.122996,Open
0.9722745,Open
1.000912,Open
0.8665385,Open
0.747413,Open
0.8057654,Open
0.7342168,Open
0.6391499,Open
0.732785,Open
0.6377097,Open
0.7179098,Open
0.6204625,Open
0.6100771,Open
0.5304469,Open
0.4608029,Open
0.4457387,Close
0.3864483,Close
0.3132584,Close
0.2717616,Close
0.2344889,Close
0.2393802,Close
0.2197255,Close
0.190873,Close
0.1715148,Close
0.1479148,Close
0.1604662,Close
0.1383038,Close
0.1205039,Close
0.2364372,Close
0.2068206,Close
0.3185743,Close
0.2770632,Close
0.3743863,Close
0.3266443,Close
0.2829321,Close
0.5046872,Close
0.4605535,Close
0.6809627,Close
0.5882801,Close
0.5148367,Close
0.7682835,Close
0.6698382,Close
0.9245922,Close
0.8102768,Close
0.7036725,Close
0.8346515,Close
0.7250122,Close
0.8782933,Close
0.7625539,Close
0.6655474,Close
0.7463794,Close
0.6843466,Close
0.5940773,Close
0.6527333,Close
0.5648851,Close
1.063996,Close
0.9172031,Close
1.73341,Close
1.498819,Close
1.308879,Close
2.265282,Close
1.982323,Close
2.99156,Close
2.62737,Close
2.275151,Close
3.10481,Close
2.700244,Close
3.757889,Close
3.273959,Close
2.869875,Close
2.687441,Open
2.355211,Open
2.000118,Open
1.758428,Open
1.527414,Open
1.438182,Open
1.238706,Open
0.9636687,Open
0.8355529,Open
0.7284833,Open
0.5580122,Open
0.5110776,Open
0.4443465,Open
0.350808,Open
0.3038026,Open
0.2269661,Open
0.1952789,Open
